id	first_name	last_name	email	shoe_type	shoe_material	shoe_color	price
0	41874	Kyle	Peck	KylePeck71@gmail.com	ballet flats	faux-leather	black	385.0
1	31349	Elizabeth	Velazquez	EVelazquez1971@gmail.com	boots	fabric	brown	388.0
2	43416	Keith	Saunders	KS4047@gmail.com	sandles	leather	navy	346.0
3	56054	Ryan	Sweeney	RyanSweeney14@outlook.com	sandles	fabric	brown	344.0
4	77402	Donna	Blankenship	DB3807@gmail.com	stilettos	fabric	brown	289.0
5	97148	Albert	Dillon	Albert.Dillon@gmail.com	wedges	fabric	brown	266.0
6	19998	Judith	Hewitt	JudithHewitt98@gmail.com	stilettos	leather	black	395.0
7	83290	Kayla	Hardin	Kayla.Hardin@gmail.com	stilettos	leather	white	241.0
8	77867	Steven	Blankenship	Steven.Blankenship@gmail.com	wedges	leather	navy	266.0
9	54885	Carol	Mclaughlin	CM3415@gmail.com	ballet flats	faux-leather	brown	440.0
10	35853	Jacob	Juarez	JJuarez1977@outlook.com	ballet flats	leather	red	331.0
11	35916	Michael	Christensen	Michael.Christensen@gmail.com	ballet flats	faux-leather	red	270.0
12	39587	Dennis	Vega	Dennis.Vega@gmail.com	ballet flats	faux-leather	brown	91.0
13	19234	Kathleen	Frost	KFrost1970@gmail.com	clogs	leather	brown	319.0
14	19733	Deborah	Lara	Deborah.Lara@gmail.com	ballet flats	leather	white	205.0
15	30871	Abigail	Dillard	ADillard1994@gmail.com	ballet flats	faux-leather	white	278.0
16	11967	Maria	Whitfield	Maria.Whitfield@gmail.com	wedges	fabric	white	180.0
17	42371	Gregory	Rose	GRose1983@gmail.com	boots	faux-leather	brown	319.0
18	35693	Margaret	Tyler	MTyler1974@gmail.com	ballet flats	fabric	brown	481.0
19	36694	Jessica	Cash	JCash1997@gmail.com	clogs	leather	red	397.0
20	84933	Jeremy	Holder	JeremyHolder35@gmail.com	wedges	leather	red	347.0
21	92283	Diana	Burgess	DBurgess1998@gmail.com	wedges	faux-leather	red	324.0
22	87240	William	Calderon	WilliamCalderon79@gmail.com	clogs	leather	red	439.0
23	49817	Katherine	Jensen	Katherine.Jensen@gmail.com	boots	fabric	black	171.0
24	18255	Tiffany	Bradshaw	TB6065@gmail.com	boots	faux-leather	navy	284.0
25	16026	William	Edwards	WE2364@gmail.com	sandles	leather	white	326.0
26	39560	Teresa	Valenzuela	TValenzuela1973@gmail.com	clogs	leather	brown	323.0
27	63898	Amber	Gross	Amber.Gross@gmail.com	stilettos	leather	black	451.0
