id;name;hourly_wage;hours_worked
010310;Lauren Durham;19;43
118656;Grace Sellers;17;40
261254;Shirley Rasmussen;16;30
316886;Brian Rojas;18;47
489010;Samantha Mosley;11;38
587246;Louis Guzman;14;39
620578;Denise Mcclure;15;40
712869;James Raymond;15;32
853461;Noah Collier;18;35
914746;Donna Frederick;20;41
1071127;Shirley Beck;14;32
1192522;Christina Kelly;8;44
1222447;Brian Noble;11;39
1361654;Randy Key;16;38
1416988;Diana Stewart;14;48
1568619;Timothy Sosa;14;42
1659949;Betty Skinner;11;48
1781418;Janet Maxwell;12;38
1827267;Madison Johnston;20;37
1919985;Virginia Nichols;13;49
