id;shoe_type;first_name;last_name;email;shoe_type2;shoe_material;shoe_color
0;54791;Rebecca;Lindsay;RebeccaLindsay57@hotmail.com;clogs;faux-leather;black
1;53450;Emily;Joyce;EmilyJoyce25@gmail.com;ballet flats;faux-leather;navy
2;91987;Joyce;Waller;Joyce.Waller@gmail.com;sandals;fabric;black
3;14437;Justin;Erickson;Justin.Erickson@outlook.com;clogs;faux-leather;red
4;79357;Andrew;Banks;AB4318@gmail.com;boots;leather;brown
5;52386;Julie;Marsh;JulieMarsh59@gmail.com;sandals;fabric;black
6;20487;Thomas;Jensen;TJ5470@gmail.com;clogs;fabric;navy
7;76971;Janice;Hicks;Janice.Hicks@gmail.com;clogs;faux-leather;navy
8;21586;Gabriel;Porter;GabrielPorter24@gmail.com;clogs;leather;brown
9;62083;Frances;Palmer;FrancesPalmer50@gmail.com;wedges;leather;white
10;91629;Jessica;Hale;JessicaHale25@gmail.com;clogs;leather;red
11;98602;Lawrence;Parker;LawrenceParker44@gmail.com;wedges;fabric;brown
12;45832;Susan;Dennis;SusanDennis58@gmail.com;ballet flats;fabric;white
13;33862;Diane;Ochoa;DO2680@gmail.com;sandals;fabric;red
14;73431;Rebecca;Charles;Rebecca.Charles@gmail.com;boots;faux-leather;white
15;93889;Jacqueline;Crane;JC2072@hotmail.com;wedges;fabric;red
16;39888;Vincent;Stephenson;VS4753@outlook.com;boots;leather;black
17;35961;Roy;Tillman;RoyTillman20@gmail.com;boots;leather;white
18;24560;Thomas;Roberson;Thomas.Roberson@gmail.com;wedges;fabric;red
19;28559;Angela;Newton;ANewton1977@outlook.com;wedges;fabric;red
